file_name,md5,label,CPU,family,first_seen,size,is_packed,packer_info,packing_algorithm,UPX(3.94),UPX(3.95),UPX(4.02)
00009fec56cd3245684bb511bdd21efba0f86c501521cb8e0b2f3dcfdbb19385,0b512605fcf3685e0b3fb4b56b936ec0,Malware,Intel 80386,xorddos,2022-06-06 19:44:37,548649.0,False,,,True,True,True
0001a17260daed28b3ffc02e2b142c2470dbd0dafaa746360be2aae806c1cb9c,ba72845efc92edfdeebd0141f246271a,Malware,Intel 80386,xorddos,2022-03-09 14:26:08,625889.0,False,,,True,True,True
000132d491a03d41d71d862d63bd09c32e651794f21db02b1681d0a8347227c6,4ea1b9c7169b1ac0d5bc161f7b380cea,Malware,Intel 80386,xorddos,2022-09-21 21:07:30,625828.0,False,,,True,True,True
00003aa12b390433cf1cfb4e0308c45daac46d1bd982577eec67cdfe63dadfdf,3acbeef3442f57d404f97016b40084ba,Malware,Intel 80386,xorddos,2021-12-18 18:02:58,625889.0,False,,,True,True,True
0000251846a54b1fc992a96c29ccc915c25012de2860e8c772ef14c32ca2c869,c66126f181bfc2a04b11c5e81f937135,Malware,Intel 80386,xorddos,2022-05-27 18:02:22,625900.0,False,,,True,True,True
00010da97817d9857830687b77fde2823b26a2d855b08195ab37c3dc57e1683b,dbe3d9fb06cc2e7bd2a8bbe3b43339d6,Malware,Intel 80386,xorddos,2022-02-02 21:48:27,625828.0,False,,,True,True,True
0002523992438a06005414e6d26063910348761eebaf3ac4bafdfbacead17a2b,1fb3a44c396981b1230cb9e92a660cf7,Malware,Intel 80386,xorddos,2022-01-08 06:12:55,610353.0,False,,,True,True,True
0001a18ae218c8bfde03b136b34aa281704d6624dc6a08a0081e2ad261ec3a8d,b8cd4cbea399abf7febe3d36cf64ba42,Malware,Intel 80386,xorddos,2022-02-02 12:41:20,625900.0,False,,,True,True,True
0002370382a91eb4c0e748568aeb1610029bd0cff7a5588733269650a298b3ce,45d43fe34d8e8215d9e83b952b03fec7,Malware,Intel 80386,xorddos,2022-11-19 14:07:17,625911.0,False,,,True,True,True
0000002158d35c2bb5e7d96a39ff464ea4c83de8c5fd72094736f79125aaca11,6a1280e0e5f5ca168d3aa7e422819dc7,Malware,Intel 80386,xorddos,2022-07-06 18:40:46,548693.0,False,,,True,True,True
000154379eadff786f018f88ae95046d8d8ecbe08b84c8ca6b4d22fa8619859e,fe0aa1f85b9e70f7e92be0a262d8c8ea,Malware,Intel 80386,xorddos,2022-10-06 12:51:32,625900.0,False,,,True,True,True
0000ffddd495f64edd23178b478a4eb1e978d084cfa3d35a438a2e6b352bee9c,8dbae2d7e6488585b8faec4c1c19d2ad,Malware,Intel 80386,xorddos,2021-12-10 02:36:15,548671.0,False,,,True,True,True
0001093cc24740053122021e1b61ce5e23530b2eeda8f6db0ea3f1c51c33f902,95034bc6950f2bb59f4e24c54f70fc33,Malware,Intel 80386,xorddos,2023-03-06 01:43:14,625911.0,False,,,True,True,True
0001e258f1c07009e5c0b548106d78c90cf162d8418950b3c9b26a75290b48c6,9680fbc27c84cf7050c1d5891aab5c0b,Malware,Intel 80386,xorddos,2022-03-11 17:31:15,610342.0,False,,,True,True,True
000263ae17e3105d5f8e52f0603e54f9632b3ab0e610db812bf6db7b98e4802a,23ee2805f3f9ca126dc0c7d341bfba3c,Malware,Intel 80386,xorddos,2021-11-15 13:50:32,610331.0,False,,,True,True,True
00017652051bf9e79dbc2ac3fef45556a5309ad1d46955c5aaa3b0ecd6abd346,0f4d553422a531d6483f619885d12d1e,Malware,Intel 80386,xorddos,2022-04-16 21:37:03,625927.0,False,,,True,True,True
0001b0c29f9cb85045f98fede54127951a226fbe4d1d3a1b57d5cba7a3b661b5,b2a521a4ed1b9c201fc45f4f9a972a43,Malware,Intel 80386,xorddos,2022-11-11 17:40:57,610353.0,False,,,True,True,True
00024c3b422cad71a5745138b670dbb2d51492bd3c2d6c82f3d8334489ff9f3f,c4a373f1566cd97371f226479bf6eb3f,Malware,Intel 80386,xorddos,2022-11-09 01:47:03,625889.0,False,,,True,True,True
0000ba48a5ff1a193b9f68fd68bdc081ae5a6e14ae8116982c95cf22051c124d,7eda268f9a92765e818ffed5672f447a,Malware,Intel 80386,xorddos,2021-10-09 12:19:00,625900.0,False,,,True,True,True
0001f6a5120a6da4bc2bbaa365d4c41e90537c2502cb612913165036dac629d2,fd4125c5387b9ca57f7acda5b59625ba,Malware,Intel 80386,xorddos,2021-11-23 21:45:51,625889.0,False,,,True,True,True
